season,playerId,fullName,team_number_of_matches,matches_played,dob,reference_date,age_at_start_of_year,availability_perc,availability_adjusted
2014,500237,Josh Reynolds,28,19,1989-04-13,2014-01-01,24,0.6785714285714286,0.6721938775510204
2014,500224,Trent Hodkinson,28,25,1988-08-31,2014-01-01,25,0.8928571428571429,0.8788265306122449
2014,500241,Aiden Tolman,28,22,1988-11-10,2014-01-01,25,0.7857142857142857,0.7755102040816327
2014,500223,James Graham,28,28,1985-09-10,2014-01-01,28,1,0.9821428571428571
2014,500222,Dale Finucane,28,27,1991-09-07,2014-01-01,22,0.9642857142857143,0.9477040816326531
2014,500226,Josh Jackson,28,28,1991-01-08,2014-01-01,22,1,0.9821428571428571
2014,500228,David Klemmer,28,23,1993-12-22,2014-01-01,20,0.8214285714285714,0.8099489795918366
2014,500245,Dale Copley,25,25,1991-07-29,2014-01-01,22,1,0.98
2014,500256,Josh Hoffman,25,20,1988-03-10,2014-01-01,25,0.8,0.7880000000000001
2014,500257,Ben Hunt,25,25,1990-03-27,2014-01-01,23,1,0.98
2014,500262,Josh McGuire,25,24,1990-03-02,2014-01-01,23,0.96,0.9416
2014,500261,Andrew McCullough,25,23,1990-01-30,2014-01-01,23,0.92,0.9032000000000001
2014,500250,Alex Glenn,25,25,1988-07-31,2014-01-01,25,1,0.98
2014,500273,Sam Thaiday,25,19,1985-06-12,2014-01-01,28,0.76,0.7496
2014,500249,Matt Gillett,25,21,1988-08-12,2014-01-01,25,0.84,0.8264
2014,500275,Jarrod Wallace,25,17,1991-07-23,2014-01-01,22,0.68,0.6728000000000001
2014,500356,Matt Moylan,26,26,1991-06-16,2014-01-01,22,1,0.9807692307692307
2014,500352,Josh Mansour,26,22,1990-06-17,2014-01-01,23,0.8461538461538461,0.8328402366863905
2014,500368,Dean Whare,26,26,1990-01-22,2014-01-01,23,1,0.9807692307692307
2014,500970,Elijah Taylor,26,17,1990-02-27,2014-01-01,23,0.6538461538461539,0.6479289940828402
2014,501184,Tyrone Peachey,26,14,1991-08-08,2014-01-01,22,0.5384615384615384,0.5369822485207101
2014,500351,Jeremy Latimore,26,24,1986-12-08,2014-01-01,27,0.9230769230769231,0.9068047337278107
2014,500534,Isaah Yeo,26,10,1994-11-06,2014-01-01,19,0.38461538461538464,0.38905325443786987
2014,500040,Darius Boyd,24,14,1987-07-17,2014-01-01,26,0.5833333333333334,0.5798611111111112
2014,500043,Dane Gagai,24,24,1991-01-03,2014-01-01,22,1,0.9791666666666666
2014,500042,Joseph Leilua,24,22,1991-12-12,2014-01-01,22,0.9166666666666666,0.8993055555555555
2014,500046,Tyrone Roberts,24,24,1991-06-01,2014-01-01,22,1,0.9791666666666666
2014,500579,Peta Hiku,26,26,1992-12-04,2014-01-01,21,1,0.9807692307692307
2014,500023,Kieran Foran,26,22,1990-07-13,2014-01-01,23,0.8461538461538461,0.8328402366863905
2014,500024,Daly Cherry-Evans,26,23,1989-02-20,2014-01-01,24,0.8846153846153846,0.8698224852071005
2014,500957,Dunamis Lui,26,21,1990-02-16,2014-01-01,23,0.8076923076923077,0.7958579881656805
2014,500586,Will Chambers,25,22,1988-05-26,2014-01-01,25,0.88,0.8648
2014,500593,Ben Hampton,25,11,1992-02-29,2014-01-01,21,0.44,0.4424
2014,500584,Jesse Bromwich,25,24,1989-05-03,2014-01-01,24,0.96,0.9416
2014,500609,Cameron Smith,25,23,1983-06-18,2014-01-01,30,0.92,0.9032000000000001
2014,500606,Kevin Proctor,25,25,1989-02-28,2014-01-01,24,1,0.98
2014,500596,Ryan Hoffman,25,24,1984-01-26,2014-01-01,29,0.96,0.9416
2014,500585,Kenneath Bromwich,25,18,1991-09-22,2014-01-01,22,0.72,0.7112
2014,500594,Tohu Harris,25,25,1992-01-07,2014-01-01,21,1,0.98
2014,500602,Jordan McLean,25,16,1991-10-08,2014-01-01,22,0.64,0.6344
2014,500292,Michael Morgan,26,26,1991-12-27,2014-01-01,22,1,0.9807692307692307
2014,500282,Kyle Feldt,26,10,1992-02-09,2014-01-01,21,0.38461538461538464,0.38905325443786987
2014,500288,Kane Linnett,26,25,1989-01-11,2014-01-01,24,0.9615384615384616,0.9437869822485208
2014,500305,Antonio Winterstein,26,23,1988-05-30,2014-01-01,25,0.8846153846153846,0.8698224852071005
2014,500304,Johnathan Thurston,26,24,1983-04-25,2014-01-01,30,0.9230769230769231,0.9068047337278107
2014,500296,Matthew Scott,26,20,1985-07-30,2014-01-01,28,0.7692307692307693,0.7588757396449706
2014,500299,James Tamou,26,21,1988-12-13,2014-01-01,25,0.8076923076923077,0.7958579881656805
2014,500280,Gavin Cooper,26,17,1985-08-19,2014-01-01,28,0.6538461538461539,0.6479289940828402
2014,500301,Jason Taumalolo,26,25,1993-05-31,2014-01-01,20,0.9615384615384616,0.9437869822485208
2014,500298,Tariq Sims,26,21,1990-02-09,2014-01-01,23,0.8076923076923077,0.7958579881656805
2014,500278,Scott Bolton,26,26,1987-05-09,2014-01-01,26,1,0.9807692307692307
2014,500326,Anthony Milford,24,24,1994-07-11,2014-01-01,19,1,0.9791666666666666
2014,500313,Jarrod Croker,24,24,1990-09-11,2014-01-01,23,1,0.9791666666666666
2014,500322,Edrick Lee,24,8,1992-09-18,2014-01-01,21,0.3333333333333333,0.34027777777777773
2014,500339,Jack Wighton,24,20,1993-02-04,2014-01-01,20,0.8333333333333334,0.8194444444444445
2014,500973,Josh Papalii,24,19,1992-05-13,2014-01-01,21,0.7916666666666666,0.7795138888888888
2014,500337,Paul Vaughan,24,23,1991-04-23,2014-01-01,22,0.9583333333333334,0.9392361111111112
2014,500309,Shannon Boyd,24,21,1992-09-09,2014-01-01,21,0.875,0.859375
2014,500633,Brett Morris,24,18,1986-08-23,2014-01-01,27,0.75,0.7395833333333334
2014,500616,Gerard Beale,24,24,1990-07-18,2014-01-01,23,1,0.9791666666666666
2014,500634,Jason Nightingale,24,22,1986-09-20,2014-01-01,27,0.9166666666666666,0.8993055555555555
2014,500641,Gareth Widdop,24,24,1989-03-12,2014-01-01,24,1,0.9791666666666666
2014,500619,Jack De Belin,24,21,1991-03-17,2014-01-01,22,0.875,0.859375
2014,500636,Mitch Rein,24,22,1990-04-26,2014-01-01,23,0.9166666666666666,0.8993055555555555
2014,500614,Leeson Ah Mau,24,23,1989-12-20,2014-01-01,24,0.9583333333333334,0.9392361111111112
2014,500632,Trent Merrin,24,21,1989-10-07,2014-01-01,24,0.875,0.859375
2014,500640,Joel Thompson,24,23,1988-08-24,2014-01-01,25,0.9583333333333334,0.9392361111111112
2014,500622,Tyson Frizell,24,15,1991-10-09,2014-01-01,22,0.625,0.6197916666666666
2014,500663,James Tedesco,24,8,1993-01-08,2014-01-01,20,0.3333333333333333,0.34027777777777773
2014,500654,Chris Lawrence,24,21,1988-10-19,2014-01-01,25,0.875,0.859375
2014,500646,Luke Brooks,24,21,1994-12-21,2014-01-01,19,0.875,0.859375
2014,500665,Aaron Woods,24,21,1991-03-13,2014-01-01,22,0.875,0.859375
2014,500649,Robbie Farah,24,18,1984-01-23,2014-01-01,29,0.75,0.7395833333333334
2014,500960,Martin Taupau,24,24,1990-02-03,2014-01-01,23,1,0.9791666666666666
2014,500645,Adam Blair,24,24,1986-03-20,2014-01-01,27,1,0.9791666666666666
2014,500659,Ava Seumanufagai,24,23,1991-06-04,2014-01-01,22,0.9583333333333334,0.9392361111111112
2014,500662,Sauaso Sue,24,18,1992-04-20,2014-01-01,21,0.75,0.7395833333333334
2014,500672,Will Hopoate,24,19,1992-05-09,2014-01-01,21,0.7916666666666666,0.7795138888888888
2014,500684,Corey Norman,24,24,1991-02-03,2014-01-01,22,1,0.9791666666666666
2014,500679,Tim Mannah,24,22,1988-02-15,2014-01-01,25,0.9166666666666666,0.8993055555555555
2014,500688,Nathan Peats,24,10,1990-10-05,2014-01-01,23,0.4166666666666667,0.4201388888888889
2014,500680,Manu Ma'u,24,13,1988-08-24,2014-01-01,25,0.5416666666666666,0.5399305555555555
2014,500696,Peni Terepo,24,21,1991-11-21,2014-01-01,22,0.875,0.859375
2014,501183,Chad Townsend,24,19,1991-01-10,2014-01-01,22,0.7916666666666666,0.7795138888888888
2014,500705,Shaun Johnson,24,21,1990-09-09,2014-01-01,23,0.875,0.859375
2014,500715,Ben Matulino,24,20,1989-01-03,2014-01-01,24,0.8333333333333334,0.8194444444444445
2014,500977,Jayson Bukuya,24,18,1989-04-21,2014-01-01,24,0.75,0.7395833333333334
2014,500712,Simon Mannering,24,24,1986-08-28,2014-01-01,27,1,0.9791666666666666
2014,500708,Jacob Lillyman,24,24,1984-03-07,2014-01-01,29,1,0.9791666666666666
2014,500797,Michael Gordon,24,24,1983-10-24,2014-01-01,30,1,0.9791666666666666
2014,500790,Sosaia Feki,24,20,1991-05-09,2014-01-01,22,0.8333333333333334,0.8194444444444445
2014,500791,Andrew Fifita,24,12,1989-06-28,2014-01-01,24,0.5,0.5
2014,500806,Matt Prior,24,10,1987-05-24,2014-01-01,26,0.4166666666666667,0.4201388888888889
2014,500798,Wade Graham,24,19,1990-10-25,2014-01-01,23,0.7916666666666666,0.7795138888888888
2014,500794,Paul Gallen,24,9,1981-08-14,2014-01-01,32,0.375,0.3802083333333333
2014,500801,Ricky Leutele,24,23,1990-04-10,2014-01-01,23,0.9583333333333334,0.9392361111111112
2014,500068,Aidan Sezer,24,13,1991-06-24,2014-01-01,22,0.5416666666666666,0.5399305555555555
2014,500919,David Fusitu'a,24,12,1994-10-16,2014-01-01,19,0.5,0.5
2014,500587,Cooper Cronk,25,19,1983-12-05,2014-01-01,30,0.76,0.7496
2014,500041,Kevin Naiqama,26,8,1989-02-04,2014-01-01,24,0.3076923076923077,0.31508875739644976
2014,500118,Kane Evans,27,9,1992-01-09,2014-01-01,21,0.3333333333333333,0.3395061728395061
2014,500658,David Nofoaluma,24,15,1993-11-28,2014-01-01,20,0.625,0.6197916666666666
2014,500803,Michael Lichaa,24,15,1993-07-18,2014-01-01,20,0.625,0.6197916666666666
2014,500799,Chris Heighington,24,19,1982-01-14,2014-01-01,31,0.7916666666666666,0.7795138888888888
2014,500266,Corey Oates,25,21,1994-10-20,2014-01-01,19,0.84,0.8264
2014,500229,Tim Lafai,28,25,1991-05-27,2014-01-01,22,0.8928571428571429,0.8788265306122449
2014,500031,David Gower,24,22,1985-09-30,2014-01-01,28,0.9166666666666666,0.8993055555555555
2014,500065,Brad Takairangi,24,21,1989-06-14,2014-01-01,24,0.875,0.859375
2014,500072,Ryan James,24,4,1991-07-20,2014-01-01,22,0.16666666666666666,0.18055555555555555
2014,500591,Tim Glasby,25,13,1989-04-27,2014-01-01,24,0.52,0.5192
2014,500109,Apisai Koroisau,27,14,1992-11-07,2014-01-01,21,0.5185185185185185,0.5178326474622771
2014,500384,Korbin Sims,24,20,1992-01-02,2014-01-01,21,0.8333333333333334,0.8194444444444445
2014,500067,Anthony Don,24,15,1987-09-21,2014-01-01,26,0.625,0.6197916666666666
2014,500038,Isaac Liu,27,23,1991-04-26,2014-01-01,22,0.8518518518518519,0.8388203017832647
2014,500687,Junior Paulo,24,16,1993-11-20,2014-01-01,20,0.6666666666666666,0.6597222222222222
2014,500532,Dallin Watene-Zelezniak,26,10,1995-08-17,2014-01-01,18,0.38461538461538464,0.38905325443786987
2014,500621,Josh Dugan,24,18,1990-05-10,2014-01-01,23,0.75,0.7395833333333334
2014,500180,Cameron McInnes,27,7,1994-02-01,2014-01-01,19,0.25925925925925924,0.2681755829903978
2014,500605,Justin O'Neill,25,4,1991-04-04,2014-01-01,22,0.16,0.1736
2014,501375,Blake Austin,24,19,1991-02-01,2014-01-01,22,0.7916666666666666,0.7795138888888888
2014,501394,Siliva Havili,24,6,1993-02-18,2014-01-01,20,0.25,0.2604166666666667
2014,500019,Jorge Taufua,26,16,1991-10-23,2014-01-01,22,0.6153846153846154,0.6109467455621302
2014,500251,Jake Granville,25,8,1989-02-07,2014-01-01,24,0.32,0.3272
2014,500108,Alex Johnston,27,18,1995-01-14,2014-01-01,18,0.6666666666666666,0.6604938271604938
2014,500243,Moses Mbye,28,9,1993-08-13,2014-01-01,20,0.32142857142857145,0.3278061224489796
2014,500289,Ethan Lowe,26,10,1991-03-20,2014-01-01,22,0.38461538461538464,0.38905325443786987
2014,500601,Kurt Mann,25,8,1993-03-01,2014-01-01,20,0.32,0.3272
2014,500555,Joseph Tapine,24,7,1994-05-04,2014-01-01,19,0.2916666666666667,0.30034722222222227
2014,500948,Benji Marshall,24,15,1985-02-25,2014-01-01,28,0.625,0.6197916666666666
2014,500264,Francis Molo,25,1,1994-09-03,2014-01-01,19,0.04,0.0584
2014,500087,Thomas Burgess,27,17,1992-04-21,2014-01-01,21,0.6296296296296297,0.6248285322359396
2014,500499,Bryce Cartwright,26,7,1994-11-15,2014-01-01,19,0.2692307692307692,0.2781065088757396
2014,500277,John Asiata,26,6,1993-04-19,2014-01-01,20,0.23076923076923078,0.2411242603550296
2014,501459,Cameron Munster,25,1,1994-09-13,2014-01-01,19,0.04,0.0584
2014,500661,Curtis Sironen,24,13,1993-07-31,2014-01-01,20,0.5416666666666666,0.5399305555555555
2014,501600,Damien Cook,28,2,1991-06-23,2014-01-01,22,0.07142857142857142,0.08673469387755102
2014,500517,James Roberts,24,12,1993-03-03,2014-01-01,20,0.5,0.5
2014,500729,Clinton Gutherson,26,3,1994-09-09,2014-01-01,19,0.11538461538461539,0.1301775147928994
2014,500600,Matthew Lodge,24,4,1995-05-31,2014-01-01,18,0.16666666666666666,0.18055555555555555
2014,500485,Mitchell Moses,24,10,1994-09-17,2014-01-01,19,0.4166666666666667,0.4201388888888889
2014,500093,Luke Keary,27,12,1992-02-03,2014-01-01,21,0.4444444444444444,0.4465020576131687
2014,500908,Tepai Moeroa,24,9,1995-10-02,2014-01-01,18,0.375,0.3802083333333333
2014,500258,Jordan Kahu,25,3,1991-01-28,2014-01-01,22,0.12,0.1352
2014,501393,Agnatius Paasi,24,1,1991-11-30,2014-01-01,22,0.041666666666666664,0.06076388888888889
2014,500571,Sione Mata'utia,24,7,1996-06-25,2014-01-01,17,0.2916666666666667,0.30034722222222227
2014,500845,Valentine Holmes,24,6,1995-07-24,2014-01-01,18,0.25,0.2604166666666667
2014,500330,Jordan Rapana,24,2,1989-08-15,2014-01-01,24,0.08333333333333333,0.10069444444444443
2014,500852,Scott Sorensen,24,3,1993-03-16,2014-01-01,20,0.125,0.140625
2014,500202,Jackson Hastings,27,2,1996-01-04,2014-01-01,17,0.07407407407407407,0.08984910836762687
2014,500576,Michael Chee Kam,26,1,1992-02-26,2014-01-01,21,0.038461538461538464,0.05621301775147929
2015,500258,Jordan Kahu,27,22,1991-01-28,2015-01-01,23,0.8148148148148148,0.8031550068587104
2015,500245,Dale Copley,27,9,1991-07-29,2015-01-01,23,0.3333333333333333,0.3395061728395061
2015,500326,Anthony Milford,27,27,1994-07-11,2015-01-01,20,1,0.9814814814814815
2015,500257,Ben Hunt,27,26,1990-03-27,2015-01-01,24,0.9629629629629629,0.9458161865569272
2015,500262,Josh McGuire,27,13,1990-03-02,2015-01-01,24,0.48148148148148145,0.48216735253772286
2015,500261,Andrew McCullough,27,27,1990-01-30,2015-01-01,24,1,0.9814814814814815
2015,500645,Adam Blair,27,23,1986-03-20,2015-01-01,28,0.8518518518518519,0.8388203017832647
2015,500250,Alex Glenn,27,25,1988-07-31,2015-01-01,26,0.9259259259259259,0.9101508916323731
2015,500273,Sam Thaiday,27,23,1985-06-12,2015-01-01,29,0.8518518518518519,0.8388203017832647
2015,500249,Matt Gillett,27,26,1988-08-12,2015-01-01,26,0.9629629629629629,0.9458161865569272
2015,500108,Alex Johnston,25,25,1995-01-14,2015-01-01,19,1,0.98
2015,500083,Dylan Walker,25,22,1994-09-27,2015-01-01,20,0.88,0.8648
2015,500093,Luke Keary,25,24,1992-02-03,2015-01-01,22,0.96,0.9416
2015,500086,Adam Reynolds,25,18,1990-07-10,2015-01-01,24,0.72,0.7112
2015,500095,George Burgess,25,24,1992-04-21,2015-01-01,22,0.96,0.9416
2015,500088,Issac Luke,25,20,1987-05-29,2015-01-01,27,0.8,0.7880000000000001
2015,500085,John Sutton,25,17,1984-11-05,2015-01-01,30,0.68,0.6728000000000001
2015,500087,Thomas Burgess,25,25,1992-04-21,2015-01-01,22,1,0.98
2015,500672,Will Hopoate,24,19,1992-05-09,2015-01-01,22,0.7916666666666666,0.7795138888888888
2015,500065,Brad Takairangi,24,17,1989-06-14,2015-01-01,25,0.7083333333333334,0.6996527777777778
2015,500684,Corey Norman,24,22,1991-02-03,2015-01-01,23,0.9166666666666666,0.8993055555555555
2015,500688,Nathan Peats,24,19,1990-10-05,2015-01-01,24,0.7916666666666666,0.7795138888888888
2015,500679,Tim Mannah,24,23,1988-02-15,2015-01-01,26,0.9583333333333334,0.9392361111111112
2015,500680,Manu Ma'u,24,22,1988-08-24,2015-01-01,26,0.9166666666666666,0.8993055555555555
2015,500908,Tepai Moeroa,24,19,1995-10-02,2015-01-01,19,0.7916666666666666,0.7795138888888888
2015,500687,Junior Paulo,24,15,1993-11-20,2015-01-01,21,0.625,0.6197916666666666
2015,500031,David Gower,24,21,1985-09-30,2015-01-01,29,0.875,0.859375
2015,500729,Clinton Gutherson,24,1,1994-09-09,2015-01-01,20,0.041666666666666664,0.06076388888888889
2015,500579,Peta Hiku,24,22,1992-12-04,2015-01-01,22,0.9166666666666666,0.8993055555555555
2015,500023,Kieran Foran,24,19,1990-07-13,2015-01-01,24,0.7916666666666666,0.7795138888888888
2015,500024,Daly Cherry-Evans,24,23,1989-02-20,2015-01-01,25,0.9583333333333334,0.9392361111111112
2015,500957,Dunamis Lui,24,17,1990-02-16,2015-01-01,24,0.7083333333333334,0.6996527777777778
2015,500043,Dane Gagai,24,24,1991-01-03,2015-01-01,23,1,0.9791666666666666
2015,500046,Tyrone Roberts,24,21,1991-06-01,2015-01-01,23,0.875,0.859375
2015,500384,Korbin Sims,24,22,1992-01-02,2015-01-01,22,0.9166666666666666,0.8993055555555555
2015,500571,Sione Mata'utia,24,22,1996-06-25,2015-01-01,18,0.9166666666666666,0.8993055555555555
2015,501183,Chad Townsend,24,22,1991-01-10,2015-01-01,23,0.9166666666666666,0.8993055555555555
2015,500705,Shaun Johnson,24,18,1990-09-09,2015-01-01,24,0.75,0.7395833333333334
2015,500708,Jacob Lillyman,24,21,1984-03-07,2015-01-01,30,0.875,0.859375
2015,500715,Ben Matulino,24,21,1989-01-03,2015-01-01,25,0.875,0.859375
2015,500596,Ryan Hoffman,24,18,1984-01-26,2015-01-01,30,0.75,0.7395833333333334
2015,500712,Simon Mannering,24,24,1986-08-28,2015-01-01,28,1,0.9791666666666666
2015,500926,Sam Lisone,24,19,1994-02-19,2015-01-01,20,0.7916666666666666,0.7795138888888888
2015,500517,James Roberts,24,24,1993-03-03,2015-01-01,21,1,0.9791666666666666
2015,500256,Josh Hoffman,24,24,1988-03-10,2015-01-01,26,1,0.9791666666666666
2015,500068,Aidan Sezer,24,18,1991-06-24,2015-01-01,23,0.75,0.7395833333333334
2015,500072,Ryan James,24,21,1991-07-20,2015-01-01,23,0.875,0.859375
2015,501393,Agnatius Paasi,24,18,1991-11-30,2015-01-01,23,0.75,0.7395833333333334
2015,500663,James Tedesco,24,24,1993-01-08,2015-01-01,21,1,0.9791666666666666
2015,500041,Kevin Naiqama,24,24,1989-02-04,2015-01-01,25,1,0.9791666666666666
2015,500485,Mitchell Moses,24,24,1994-09-17,2015-01-01,20,1,0.9791666666666666
2015,500646,Luke Brooks,24,23,1994-12-21,2015-01-01,20,0.9583333333333334,0.9392361111111112
2015,500665,Aaron Woods,24,20,1991-03-13,2015-01-01,23,0.8333333333333334,0.8194444444444445
2015,500649,Robbie Farah,24,17,1984-01-23,2015-01-01,30,0.7083333333333334,0.6996527777777778
2015,500661,Curtis Sironen,24,19,1993-07-31,2015-01-01,21,0.7916666666666666,0.7795138888888888
2015,500662,Sauaso Sue,24,23,1992-04-20,2015-01-01,22,0.9583333333333334,0.9392361111111112
2015,500659,Ava Seumanufagai,24,23,1991-06-04,2015-01-01,23,0.9583333333333334,0.9392361111111112
2015,500960,Martin Taupau,24,21,1990-02-03,2015-01-01,24,0.875,0.859375
2015,500600,Matthew Lodge,24,8,1995-05-31,2015-01-01,19,0.3333333333333333,0.34027777777777773
2015,500292,Michael Morgan,28,23,1991-12-27,2015-01-01,23,0.8214285714285714,0.8099489795918366
2015,500605,Justin O'Neill,28,26,1991-04-04,2015-01-01,23,0.9285714285714286,0.913265306122449
2015,500288,Kane Linnett,28,28,1989-01-11,2015-01-01,25,1,0.9821428571428571
2015,500305,Antonio Winterstein,28,26,1988-05-30,2015-01-01,26,0.9285714285714286,0.913265306122449
2015,500304,Johnathan Thurston,28,25,1983-04-25,2015-01-01,31,0.8928571428571429,0.8788265306122449
2015,500296,Matthew Scott,28,25,1985-07-30,2015-01-01,29,0.8928571428571429,0.8788265306122449
2015,500280,Gavin Cooper,28,27,1985-08-19,2015-01-01,29,0.9642857142857143,0.9477040816326531
2015,500289,Ethan Lowe,28,28,1991-03-20,2015-01-01,23,1,0.9821428571428571
2015,500301,Jason Taumalolo,28,26,1993-05-31,2015-01-01,21,0.9285714285714286,0.913265306122449
2015,500251,Jake Granville,28,28,1989-02-07,2015-01-01,25,1,0.9821428571428571
2015,500278,Scott Bolton,28,20,1987-05-09,2015-01-01,27,0.7142857142857143,0.7066326530612245
2015,500299,James Tamou,28,24,1988-12-13,2015-01-01,26,0.8571428571428571,0.8443877551020408
2015,500005,Roger Tuivasa-Sheck,27,27,1993-06-05,2015-01-01,21,1,0.9814814814814815
2015,500002,Daniel Tupou,27,27,1991-06-17,2015-01-01,23,1,0.9814814814814815
2015,500003,Michael Jennings,27,24,1988-04-20,2015-01-01,26,0.8888888888888888,0.8744855967078189
2015,501569,Blake Ferguson,27,19,1990-03-20,2015-01-01,24,0.7037037037037037,0.696159122085048
2015,500004,Shaun Kenny-Dowall,27,20,1988-01-23,2015-01-01,26,0.7407407407407407,0.7318244170096022
2015,500006,James Maloney,27,27,1986-06-15,2015-01-01,28,1,0.9814814814814815
2015,500007,Mitchell Pearce,27,21,1989-04-07,2015-01-01,25,0.7777777777777778,0.7674897119341564
2015,500008,Jared Waerea-Hargreaves,27,19,1989-01-20,2015-01-01,25,0.7037037037037037,0.696159122085048
2015,500013,Boyd Cordner,27,25,1992-06-09,2015-01-01,22,0.9259259259259259,0.9101508916323731
2015,500011,Aidan Guerra,27,22,1988-02-25,2015-01-01,26,0.8148148148148148,0.8031550068587104
2015,500038,Isaac Liu,27,26,1991-04-26,2015-01-01,23,0.9629629629629629,0.9458161865569272
2015,500016,Mitchell Aubusson,27,26,1987-10-01,2015-01-01,27,0.9629629629629629,0.9458161865569272
2015,500039,Dylan Napa,27,27,1992-11-13,2015-01-01,22,1,0.9814814814814815
2015,500118,Kane Evans,27,26,1992-01-09,2015-01-01,22,0.9629629629629629,0.9458161865569272
2015,501179,Siosiua Taukeiaho,27,27,1992-01-03,2015-01-01,22,1,0.9814814814814815
2015,500356,Matt Moylan,24,11,1991-06-16,2015-01-01,23,0.4583333333333333,0.4600694444444444
2015,500368,Dean Whare,24,13,1990-01-22,2015-01-01,24,0.5416666666666666,0.5399305555555555
2015,500532,Dallin Watene-Zelezniak,24,16,1995-08-17,2015-01-01,19,0.6666666666666666,0.6597222222222222
2015,500970,Elijah Taylor,24,20,1990-02-27,2015-01-01,24,0.8333333333333334,0.8194444444444445
2015,501184,Tyrone Peachey,24,22,1991-08-08,2015-01-01,23,0.9166666666666666,0.8993055555555555
2015,500351,Jeremy Latimore,24,24,1986-12-08,2015-01-01,28,1,0.9791666666666666
2015,500498,Reagan Campbell-Gillard,24,24,1993-07-27,2015-01-01,21,1,0.9791666666666666
2015,500499,Bryce Cartwright,24,22,1994-11-15,2015-01-01,20,0.9166666666666666,0.8993055555555555
2015,500633,Brett Morris,26,16,1986-08-23,2015-01-01,28,0.6153846153846154,0.6109467455621302
2015,500232,Josh Morris,26,22,1986-08-23,2015-01-01,28,0.8461538461538461,0.8328402366863905
2015,500229,Tim Lafai,26,20,1991-05-27,2015-01-01,23,0.7692307692307693,0.7588757396449706
2015,500237,Josh Reynolds,26,17,1989-04-13,2015-01-01,25,0.6538461538461539,0.6479289940828402
2015,500224,Trent Hodkinson,26,19,1988-08-31,2015-01-01,26,0.7307692307692307,0.7218934911242603
2015,500241,Aiden Tolman,26,21,1988-11-10,2015-01-01,26,0.8076923076923077,0.7958579881656805
2015,500803,Michael Lichaa,26,21,1993-07-18,2015-01-01,21,0.8076923076923077,0.7958579881656805
2015,500223,James Graham,26,18,1985-09-10,2015-01-01,29,0.6923076923076923,0.6849112426035503
2015,500226,Josh Jackson,26,23,1991-01-08,2015-01-01,23,0.8846153846153846,0.8698224852071005
2015,500228,David Klemmer,26,21,1993-12-22,2015-01-01,21,0.8076923076923077,0.7958579881656805
2015,500797,Michael Gordon,26,25,1983-10-24,2015-01-01,31,0.9615384615384616,0.9437869822485208
2015,500790,Sosaia Feki,26,23,1991-05-09,2015-01-01,23,0.8846153846153846,0.8698224852071005
2015,500616,Gerard Beale,26,26,1990-07-18,2015-01-01,24,1,0.9807692307692307
2015,500801,Ricky Leutele,26,23,1990-04-10,2015-01-01,24,0.8846153846153846,0.8698224852071005
2015,500791,Andrew Fifita,26,18,1989-06-28,2015-01-01,25,0.6923076923076923,0.6849112426035503
2015,500806,Matt Prior,26,22,1987-05-24,2015-01-01,27,0.8461538461538461,0.8328402366863905
